Mes,Precio m2,Variación mensual,Variación trimestral,Variación anual
Enero 2009,2.017 €/m2,"-2,3 %","-5,8 %","-11,3 %"
Febrero 2009,2.066 €/m2,"-0,5 %","-4,0 %","-10,1 %"
Marzo 2009,2.077 €/m2,"-2,2 %","-4,5 %","-10,1 %"
Abril 2009,2.126 €/m2,"-0,8 %","-1,8 %","-7,6 %"
Mayo 2009,2.143 €/m2,"0,1 %","-2,6 %","-6,8 %"
Junio 2009,2.154 €/m2,"-0,3 %","-1,4 %","-4,4 %"
Julio 2009,2.161 €/m2,"-0,6 %","-1,8 %","-3,8 %"
Agosto 2009,2.174 €/m2,"-0,2 %","-1,2 %","-2,2 %"
Septiembre 2009,2.178 €/m2,"-0,6 %","-0,7 %","-1,8 %"
Octubre 2009,2.191 €/m2,"0,2 %","1,1 %","-0,3 %"
Noviembre 2009,2.187 €/m2,"0,3 %","0,6 %","0,2 %"
Diciembre 2009,2.126 €/m2,"-2,2 %","-4,5 %","-10,1 %"
Enero 2008,2.187 €/m2,"0,3 %","0,6 %","0,2 %"
Febrero 2008,2.191 €/m2,"0,2 %","1,1 %","-0,3 %"
Marzo 2008,2.178 €/m2,"-0,6 %","-0,7 %","-1,8 %"
Abril 2008,2.174 €/m2,"-0,2 %","-1,2 %","-2,2 %"
Mayo 2008,2.161 €/m2,"-0,6 %","-1,8 %","-3,8 %"
Junio 2008,2.154 €/m2,"-0,3 %","-1,4 %","-4,4 %"
Julio 2008,2.142 €/m2,"-0,6 %","-2,7 %","-6,2 %"
Agosto 2008,2.143 €/m2,"0,1 %","-2,6 %","-6,8 %"
Septiembre 2008,2.126 €/m2,"-0,8 %","-1,8 %","-7,6 %"
Octubre 2008,2.077 €/m2,"-2,2 %","-4,5 %","-10,1 %"
Noviembre 2008,2.066 €/m2,"-0,5 %","-4,0 %","-10,1 %"
Diciembre 2008,2.017 €/m2,"-2,3 %","-5,8 %","-11,3 %"
Enero 2007,2.195 €/m2,"0,5 %","1,4 %","2,1 %"
Febrero 2007,2.199 €/m2,"0,2 %","0,9 %","1,8 %"
Marzo 2007,2.203 €/m2,"0,2 %","0,9 %","1,5 %"
Abril 2007,2.207 €/m2,"0,2 %","0,7 %","1,2 %"
Mayo 2007,2.210 €/m2,"0,1 %","0,5 %","0,9 %"
Junio 2007,2.213 €/m2,"0,1 %","0,5 %","0,7 %"
Julio 2007,2.215 €/m2,"0,1 %","0,2 %","0,4 %"
Agosto 2007,2.217 €/m2,"0,1 %","0,1 %","0,2 %"
Septiembre 2007,2.218 €/m2,"0,0 %","-0,1 %","0,0 %"
Octubre 2007,2.218 €/m2,"0,0 %","-0,2 %","-0,2 %"
Noviembre 2007,2.218 €/m2,"0,0 %","-0,5 %","-0,4 %"
Diciembre 2007,2.218 €/m2,"0,0 %","-0,6 %","-0,6 %"
